,size,score,code,Weights0,Bias0,Weights1,Bias1,Weights2,Bias2
23,"[2, 4, 4, 1]",766.2798284930103,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
24,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
25,"[2, 4, 4, 1]",10001.499999994328,,"[[-0.515783656895989, 0.48331216000377725, -0.245308919190248, -0.26725179423072376], [0.04594471223170462, 0.15546212420591798, 0.6139681756453779, 0.23680757955591628]]","[[0.0, 0.0, 0.0, 0.0]]","[[-1.430271910921567, 0.37723800257844087, 0.11500748763149486, -0.1275593328424937], [0.6694201856518316, 1.5392546689532711, 0.9584236944995631, 0.450308358706023], [0.6883733003285755, -1.4517630842659168, -1.091588702540684, 0.2214706009167419], [-1.8490942890223003, 0.22295497450062354, 0.1170585035973534, -0.2756685282035346]]","[[0.0, 0.0, 0.0, 0.0]]","[[2.184455945515708], [-1.5174237331739417], [-0.4734550161567214], [-1.8261608605782067]]",[[0.0]]
26,"[2, 4, 4, 1]",19657.760077775045,,"[[-1.0752759434387038, -0.17753213284410116, 2.343880624818205, -0.862130867166895], [0.8930976093752016, 2.330007269921229, -0.3358092749928866, -0.13400528122101682]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.504874097807546, -0.5549770210055325, 1.8565077420920357, 0.3991529724880008], [1.2784347492648895, 0.9909191974050384, 0.35643460260855764, 0.5984209756342861], [1.9077896633511535, -1.373472776326752, -0.6303968365537813, 0.05851283027569931], [0.00616691636848846, -0.5841151525446513, -0.24451430201871838, 0.27384702690749607]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.3603344663474555], [0.9859106520179199], [1.0844361552518884], [-1.276133313350954]]",[[0.0]]
27,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
28,"[2, 4, 4, 1]",10000.249999999927,,"[[-0.03350141801166359, -1.2982013153412477, -0.5065146759467576, -1.2514828694475635], [0.9232133480959668, -1.468665443044069, -0.944998093664419, -1.08443126110195]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.7101127211356891, -0.3652776247737547, 0.03835985152916439, 0.6038900183639463], [0.37256066907038066, 1.183107004352562, 1.4908966244127415, -0.11164335404244412], [0.08083217882266278, 1.5106107285552957, -0.25883701931783965, 0.08703905879715582], [0.7698172803921464, -0.5685696977739321, 0.09945130872112588, -1.7204533054711153]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.032109453331573], [-1.4014555689558341], [0.478550399006902], [0.22691573489058445]]",[[0.0]]
29,"[2, 4, 4, 1]",10000.249999999927,,"[[-0.3916441453545982, -0.4754193172747008, -0.33026621196918493, -1.9455313268199659], [0.1695240331721549, -1.4567200167931735, 2.2058732707796938, -0.8226064191072366]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.6660291457743144, -0.595073642125115, -0.5771476031815805, 0.9993236782180148], [-1.1204903355623557, -0.8753576844325952, 1.738396238359438, -0.22080682527212991], [-0.2779984968028817, 1.8752582290894197, -0.8405736024484407, 0.33790329690732107], [0.19463020761473762, -1.9793529300317, -1.1726075905291198, -0.5515322034538399]]","[[0.0, 0.0, 0.0, 0.0]]","[[-1.3130578496055272], [-0.05406629569607475], [0.3358955037514931], [0.3181358666350337]]",[[0.0]]
30,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
31,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
32,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
