,size,score,code,Weights0,Bias0,Weights1,Bias1,Weights2,Bias2
66,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
67,"[2, 4, 4, 1]",5038.636647389894,,"[[0.501825795239429, 0.2774503913456113, 0.8763400745813006, -0.4555212926077757], [1.1022926924672891, -0.5412887948003268, -1.0794114032703563, 0.0639925158665084]]","[[0.0, 0.0, 0.0, 0.0]]","[[-2.146644326877369, -0.8306402439571082, 0.12697755154192614, -0.12495508908496973], [-0.14159787392434928, -0.03250739206867464, 0.6472016662615824, -1.0619939977433221], [1.8922994835572995, -1.1741822333930503, 0.3270137837953187, -0.8146440142279587], [0.558758005735872, -0.3307234514588027, 0.7589117427990124, -0.33593587724407664]]","[[0.0, 0.0, 0.0, 0.0]]","[[-1.1359867671086203], [0.4768979574481633], [1.8471483999311498], [-0.8523512548649606]]",[[0.0]]
68,"[2, 4, 4, 1]",10000.249999999927,,"[[0.6632332727917, -1.5712733554558918, 0.23014344524665356, -1.1345790107444886], [0.6782752928013239, 1.0145415680645684, -0.5008808838215526, 0.8143708912395098]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.36008377146585174, -0.4274978656515907, 0.4108992656707218, 0.6705690849933027], [0.8358352357627289, -0.186916071881385, 1.9567781465854566, 2.286319223709821], [-1.6793837409302905, -0.5348491133987017, -0.308485545842363, 0.3678620164605538], [-0.5054014951311712, -0.7919592147319564, 0.31600679585106783, 0.7437421072855946]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.0392361792706434], [0.5487681010776269], [-1.6462953881991358], [0.6426071233214016]]",[[0.0]]
69,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
70,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
71,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
72,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
73,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
74,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
75,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
76,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
77,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
78,"[2, 4, 4, 1]",10000.267182930991,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
79,"[2, 4, 4, 1]",10000.687259799177,,"[[-0.9335445577463972, 1.1697142452289424, -1.9168926705894556, 1.1023257281079817], [0.04384715576879802, 1.2313899348667834, -0.2548381083515286, -0.5353311080116829]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.16487804317197816, 0.549379411547681, -0.6206669837453181, -0.8885110946384892], [0.44967392486016866, -0.5057109582760283, 1.5896252210582735, 0.7538025470206491], [1.9222077395588317, 1.0172371569002183, 1.0733417762449124, 1.1198850750733946], [-1.7420914595790988, -0.8098827270153329, -0.5054211537545981, -2.3343348565194706]]","[[0.0, 0.0, 0.0, 0.0]]","[[-1.165708140151118], [0.29694266047272366], [-0.26855119194092475], [-2.777706248922375]]",[[0.0]]
80,"[2, 4, 4, 1]",10000.672207777108,,"[[-2.0693273088511743, 0.18340699255466827, -0.41223033570549605, 0.2944102922843037], [0.20357887415266276, 1.1091929014563546, -1.3706637091142184, -0.6038901728900986]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.6312578309567899, 0.12860704580340948, -0.33938189502393795, -1.14790747277554], [-0.9411910266538428, 0.6810838225684785, 2.509543525356018, -1.073522799469396], [0.5777697925738285, 1.1170320208971254, 0.7577211500102498, 1.1064144364343826], [-0.13726894534268272, 0.9801685931312152, -0.9698494404627676, 0.5059341164585385]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.3050186867629707], [-0.6208853900871096], [-0.46261930657392036], [-1.079656834747635]]",[[0.0]]
81,"[2, 4, 4, 1]",4520.869904924944,,"[[1.0511473882462765, 0.5191522254201617, 0.35772407835196535, -0.03642520531291267], [2.6892881299513807, -0.22656432851597477, -1.4067779245334646, -1.0689974547267647]]","[[0.0, 0.0, 0.0, 0.0]]","[[-1.7252379956748451, -0.11105727455241807, -0.013752436377229843, 0.5176856268753449], [0.8281054095621716, -0.9686554075138516, 0.26314671699545994, 0.6024548498184427], [3.590019312186105, -0.6260449882598136, 1.306142573846478, -0.047690963959417076], [-1.787307888469403, -0.06658582372025867, -0.17289621813431327, 0.7883710806780626]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.09316751109463785], [-0.2284331732814414], [-1.5334958215043601], [1.551053576847969]]",[[0.0]]
82,"[2, 4, 4, 1]",7820.667914425072,,"[[0.3454334326495551, 0.718276188421898, -0.1555553364735594, -0.6573153143459007], [0.5173693776878849, -1.0467684692856238, 0.2162445693127145, -0.11042793886444029]]","[[0.0, 0.0, 0.0, 0.0]]","[[-2.512111888115856, -0.1261464342242013, -1.0157622905641241, 1.5186024059391359], [0.9766169224528192, 1.149034467610441, -0.029819082382557576, 0.6097044571900679], [-0.2130395063837805, 0.8896538945642248, 0.5001287262967258, -2.5520912866157306], [-1.1754966484609135, -0.2323198076247158, -1.1153864875601829, 0.5484700355040645]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.0633102919017102], [-0.9898750338014558], [-0.7635812484472153], [1.425542753539809]]",[[0.0]]
83,"[2, 4, 4, 1]",10000.249999999927,,"[[-1.0523987157005528, -1.2150401495061836, 1.2150337843074344, 1.1262630955407793], [-1.951035411385307, -1.7427487864715174, -0.7286329752961045, -1.8792197713283985]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.7932938333377846, -0.14711172543232012, -0.06291006496072112, -0.08579149051910694], [-2.593900924267998, -0.31249372958804833, 0.5501975035696931, 0.965133760924627], [-1.080994387878331, -1.5074701309297462, -0.2869982118655438, 0.11740677658553833], [0.12703915883674302, 1.0477621703608608, -0.4844473456530258, -1.3623388162917307]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.21521288486122656], [1.5194661113276398], [-0.23901540265529625], [0.5626847664332387]]",[[0.0]]
84,"[2, 4, 4, 1]",3742.412008518013,,"[[1.16875619424773, 0.5984624273011092, 0.42669069651695685, 0.04945242955497102], [2.6968793894056224, -0.369664761031401, -1.37056704281066, -1.1544791194062374]]","[[0.16530459271394982, -0.001378968233016728, -0.016785019310417395, 0.05437441968730979]]","[[-1.8493530823663797, -0.15151377069501393, 0.12327418875241222, 0.5043350318636498], [0.7116804416393518, -0.9998344779505371, 0.1961352797155061, 0.7389038604065933], [3.7320698142796656, -0.693122292253831, 1.2621120593424364, -0.12711456217404266], [-1.8922518743161498, -0.2369042900458527, -0.2436036558938356, 0.6591589824506351]]","[[-0.043927449164762315, 0.05739181334065755, -0.09289228473486719, 0.015123956428789493]]","[[-0.31410867604597625], [-0.16115474024408627], [-1.5106738960441402], [1.5531528279194218]]",[[0.12948334545233325]]
85,"[2, 4, 4, 1]",3852.895301504865,,"[[1.1434113140087638, 0.5473823028591741, 0.32579216169703684, 0.11843328472786856], [2.556261599019754, -0.15634048382994092, -1.484167034928014, -1.05839027939504]]","[[0.12261873556467494, 0.00047936413966329447, 0.026097770209472227, -0.07193513013369113]]","[[-1.657721203534284, -0.014176432099424097, -0.0655228043724968, 0.5824033023759474], [0.7836788805489043, -1.070957859807491, 0.3474659871481212, 0.729781262910522], [3.4467528798949703, -0.4920208203846385, 1.2646140364040686, 0.09536150547962677], [-1.9226985996819357, -0.1431025963694746, -0.12516200503166947, 0.6342048500745724]]","[[0.17492416328719945, -0.013891590783659634, 0.04681006712470614, 0.044444068158483306]]","[[-0.26001007523667496], [-0.2547188043582908], [-1.4514889145687229], [1.5424931775251847]]",[[-0.02317380339929019]]
86,"[2, 4, 4, 1]",4109.655376581587,,"[[1.0994291967339498, 0.6275197532717318, 0.24282448612227842, 0.002191765358261634], [2.705408324983929, -0.15683194079338453, -1.378236962770894, -1.0155701427436237]]","[[0.02649284673185397, 0.005920528651164587, 0.014416623009639572, -0.088052810655292]]","[[-1.6565977102505287, -0.07536155887628258, -0.06515473697428535, 0.44591826852690464], [0.9085792199662382, -1.0054328863236068, 0.1787862127433738, 0.7105322256576505], [3.7351865751968596, -0.6087666966984733, 1.2426939707274893, -0.037897188101823694], [-1.835096512714242, 0.029469643268698276, -0.03654202137481216, 0.7381918242604025]]","[[0.08932876848414069, -0.14895605562567213, 0.010670507485415906, -0.08911140752422812]]","[[-0.012403564081714169], [-0.16841820931502685], [-1.5517378143724627], [1.606326813984356]]",[[0.02274590620165671]]
87,"[2, 4, 4, 1]",2872.484420912718,,"[[1.174045005501275, 0.6046673383470237, 0.4298623511925521, 0.04967081717806224], [2.694812677137228, -0.3694066348211553, -1.3698631659329161, -1.1565204442432113]]","[[0.16495414579155354, 0.0014044581707127848, -0.01454065430237859, 0.04875682916241622]]","[[-1.8485707803814173, -0.15582327656532055, 0.12155574678964938, 0.5066072892316157], [0.7149145667377145, -1.003430000581837, 0.19581105068982002, 0.7428867808328622], [3.733065413737601, -0.6970992458022113, 1.266394603621489, -0.12073323670788788], [-1.8913832935412973, -0.23716150960160542, -0.247616607654812, 0.6594461132629199]]","[[-0.04081191175693214, 0.054458014583947445, -0.08626625041285124, 0.013172962956621018]]","[[-0.3121838442202068], [-0.155074152017934], [-1.5077876166437023], [1.5559319871247619]]",[[0.123242760542768]]
88,"[2, 4, 4, 1]",2891.6864055783108,,"[[1.1696828899279497, 0.5987771436276865, 0.42741691994553954, 0.049783674754183334], [2.6970046286915816, -0.36978414609447613, -1.3708488953430453, -1.1526113535583633]]","[[0.16697309926065088, -0.003070109414625477, -0.018656058115713078, 0.05191564820420637]]","[[-1.85286136977002, -0.14899121888485337, 0.12122244050638845, 0.502747504168491], [0.7100071012795771, -0.9991751984903557, 0.1958915866965472, 0.7365886303884696], [3.7316759295137953, -0.6976273972386343, 1.2650279321438531, -0.1290760016233227], [-1.894030984087337, -0.23660964031285547, -0.24169304912107145, 0.6601431974994434]]","[[-0.041374174451804614, 0.05774721350289355, -0.0875793430770309, 0.018019168424084252]]","[[-0.31270975252435823], [-0.15804407182721758], [-1.5112030068902396], [1.5526342255058048]]",[[0.12765452595979476]]
89,"[2, 4, 4, 1]",2926.668371671483,,"[[1.155803195371274, 0.5998697841516337, 0.4333920383029297, 0.04779897339789788], [2.673672407102316, -0.31828463469092144, -1.3264953288410661, -1.119548886669639]]","[[0.1933697720259055, 0.0176914064933765, -0.023238302735520775, 0.05012908836999975]]","[[-1.8384132996443963, -0.09837823959869221, 0.12849420814538032, 0.4895250991874776], [0.7067297216580464, -1.062293507613871, 0.2193748513558984, 0.7605335666757224], [3.727251193152627, -0.6959557094864212, 1.2797904324071794, -0.14192754038924466], [-1.8700723926726575, -0.2316982910142872, -0.21825244074043437, 0.631378636903661]]","[[-0.042333401373702166, 0.06273361668670735, -0.13170680351984917, 0.023826767686247974]]","[[-0.3157076542841241], [-0.1533527552575203], [-1.5019800757749764], [1.5369081873722894]]",[[0.12076252241640127]]
90,"[2, 4, 4, 1]",2421.90133790198,,"[[1.1924831639096767, 0.622939455540182, 0.341741312585372, -0.011647054223070129], [2.7604999329218147, -0.33865811435776044, -1.2912133550149925, -1.1776182647223616]]","[[0.10955521094471865, 0.02185282651108643, -0.012707592225501729, 0.08064855862129425]]","[[-1.8357828493773207, -0.16374166664772039, 0.19145488959898205, 0.45359378126101346], [0.6599400987142531, -0.9307442250216262, 0.1628665145294544, 0.7234666214808998], [3.7840355045124405, -0.6615895507040538, 1.2368704412791693, -0.23450352649430528], [-1.8580408966465747, -0.20200924455348862, -0.2320873500014547, 0.6577098708631568]]","[[-0.0870100718406469, -0.031086502003990962, -0.054364629362225976, 0.0484252092535129]]","[[-0.44560426380801565], [-0.2979614461308122], [-1.4771609869750666], [1.5822776581743085]]",[[0.09744367542585944]]
91,"[2, 4, 4, 1]",2658.586110053468,,"[[1.212671018033776, 0.5981280488802917, 0.4407135763592183, 0.05655062454519109], [2.7149349069412905, -0.38637470699411275, -1.3634319120773022, -1.1809176467147697]]","[[0.15119621670182012, 0.03834772484112475, 0.0076925826539934895, 0.057889996883832284]]","[[-1.8410954594663078, -0.1508570753987466, 0.1346259631390824, 0.5493623871243839], [0.7184909770461625, -1.0097322966791566, 0.20501327409824183, 0.7513049514770236], [3.7689796230766635, -0.7330277184115107, 1.2748418097518643, -0.11659344307113231], [-1.896844399761493, -0.21610348426134468, -0.2980568215334998, 0.6924988306511473]]","[[-0.011426787119189215, 0.055795539595941454, -0.051133100245960836, -0.01674825946631712]]","[[-0.31044629881422275], [-0.16651109391088423], [-1.507400148713943], [1.5730031236399311]]",[[0.14129990424389496]]
92,"[2, 4, 4, 1]",2825.34889020331,,"[[1.1731763368662127, 0.5906749597438548, 0.412148224955362, 0.06119412416567206], [2.6835837837058545, -0.35605367560962337, -1.3770911064599767, -1.1404576014286953]]","[[0.15867730557867296, -0.03539545936706716, -0.031547839080219416, 0.0454356366161302]]","[[-1.8517157783130487, -0.1558428262884217, 0.13360705409638404, 0.4936670592430731], [0.69589676530497, -0.9987365190345098, 0.2094663585551489, 0.7448034191421367], [3.7382914804540026, -0.729420120082704, 1.2874883859507267, -0.12188280664922081], [-1.9265321134193263, -0.2262967821132788, -0.23564965989607345, 0.6199217401797478]]","[[-0.014971604793119517, 0.04184688237816695, -0.10173910945389442, 0.00515411530184917]]","[[-0.3202673252998172], [-0.13385615400843], [-1.4657851549062484], [1.537776465601348]]",[[0.1248713801687544]]
93,"[2, 4, 4, 1]",2415.096059267188,,"[[1.191596351515703, 0.6238000339948955, 0.3423192278956896, -0.011521733276998111], [2.757661579682858, -0.33748855481113815, -1.290869645292608, -1.17689489808155]]","[[0.10928807049307442, 0.02457387105283562, -0.013484920358219483, 0.08406824021542245]]","[[-1.8348712013885908, -0.1625698566536105, 0.1966584684129617, 0.45403333675597035], [0.6603024092720913, -0.9295503984115538, 0.16512715507010098, 0.7215554484244887], [3.7869802993728907, -0.6628531221020031, 1.238800058566229, -0.23343822794056326], [-1.8580210388734653, -0.20299704235303842, -0.2321610522781242, 0.6544795917547591]]","[[-0.08685983098374758, -0.03138709402692209, -0.05349985956649982, 0.050166662454278706]]","[[-0.44499266782785335], [-0.29751571027074497], [-1.4737712955691498], [1.5818466779866267]]",[[0.09678758315953823]]
94,"[2, 4, 4, 1]",2415.5617607710446,,"[[1.1918308472398529, 0.6244773323939259, 0.3415849180432708, -0.01187933028581524], [2.7624697905567577, -0.3410008450655042, -1.2897901699115595, -1.1797077031898948]]","[[0.10776990750607418, 0.02244960420471873, -0.011242300041526635, 0.08251419257357424]]","[[-1.8329569281608953, -0.16267059247870144, 0.18918831411353615, 0.45149234093149343], [0.660124750375202, -0.9368679156250697, 0.16623299232376176, 0.7254790181876416], [3.7834725019578546, -0.6615026157486571, 1.2368554432678833, -0.23454515515510657], [-1.8613973078617836, -0.20330126361712172, -0.23371030251389205, 0.6560051191143295]]","[[-0.08612423028421914, -0.031210476326904116, -0.05330876433232121, 0.048913615225073405]]","[[-0.4460824269743436], [-0.30194820217095164], [-1.4733603406448574], [1.5831333193516417]]",[[0.0944544463076568]]
95,"[2, 4, 4, 1]",2415.962594612339,,"[[1.2159013747032936, 0.6700460305207048, 0.34851678273254744, -0.0442505265992064], [2.7749312818034824, -0.35876236090400554, -1.2355432257351657, -1.1573770927342075]]","[[0.10207672275034259, 0.013176640760313716, -0.018681926424712853, 0.09626552082471693]]","[[-1.8220653718555178, -0.15673913620052063, 0.2140711977625501, 0.4788036187666774], [0.6147401387872528, -0.9444231356737073, 0.11660076579492279, 0.7396598433802178], [3.7527390712547573, -0.7103828591671256, 1.293081849742586, -0.2435502734705556], [-1.8959454893826575, -0.15374751811129062, -0.20719031604243712, 0.6389005070050274]]","[[-0.1105651011757158, -0.028894279148028848, -0.07367868686846495, -0.012727141026468852]]","[[-0.4460553922988198], [-0.2875672260894696], [-1.4940081451126912], [1.5686495389746944]]",[[0.11770720406474783]]
96,"[2, 4, 4, 1]",2289.2275904513144,,"[[1.3352662060958589, 0.6801369849861256, 0.37105020098431746, -0.04645806553744392], [2.808342469589234, -0.3398038650993108, -1.2836391241567595, -1.191600973503985]]","[[0.06610560093446202, 0.025896332624856827, -0.03823979491877033, 0.07900638955281834]]","[[-1.7961357847770614, -0.1870535465696521, 0.25762855275510604, 0.4938442336206391], [0.6176507767738462, -1.026158403407296, 0.0955980647991806, 0.7252450187587032], [3.7180236763368533, -0.6437590426212044, 1.2506436254438127, -0.22520705566011437], [-1.9005499608970031, -0.22721094908241835, -0.19983171166013408, 0.6440421718345556]]","[[-0.09228087002980409, -0.02303333935398605, -0.06472833928838806, -0.012193026415127895]]","[[-0.5321633263471456], [-0.3436487976508319], [-1.481621109025473], [1.5647494332250733]]",[[0.08912055719007576]]
97,"[2, 4, 4, 1]",2365.904602123949,,"[[1.2110152969805574, 0.6763259870497406, 0.3470111878926604, -0.04707724952333918], [2.7756947713008104, -0.3592404959821959, -1.2381687882658026, -1.1504785423807242]]","[[0.10127382098316365, 0.018010306985797676, -0.01426625408078356, 0.09631112080440016]]","[[-1.8140400190558656, -0.15903101543431594, 0.21556621602989082, 0.47742460149682886], [0.6119707382974164, -0.9364757994936443, 0.11632566075723051, 0.7340148066747082], [3.7501174614185846, -0.704199828361742, 1.288174194084189, -0.24004329793756596], [-1.903065835336942, -0.15453656195480228, -0.20960679887970932, 0.6440813362230788]]","[[-0.11506257113579386, -0.03264656704632272, -0.07119187745840215, -0.012262681862098652]]","[[-0.44391944127941946], [-0.2854694655131498], [-1.4870821474269798], [1.5723572471831584]]",[[0.1192310034225267]]
98,"[2, 4, 4, 1]",2368.040818820951,,"[[1.2181164195599676, 0.6721235995216301, 0.34585242385840886, -0.042874083013273764], [2.779750554788265, -0.36174788093367405, -1.2355446541395028, -1.1574046861081264]]","[[0.10483669157320213, 0.01004371627647094, -0.014284874266443003, 0.0986094891156129]]","[[-1.8169527223851425, -0.15803675806961587, 0.2163697948654682, 0.47615343678256705], [0.611312417595187, -0.9424742092401832, 0.12129169324739524, 0.7391917248171488], [3.7455568526412697, -0.7080863772081024, 1.290060392160892, -0.25031144864182203], [-1.893611662832336, -0.15347798562036002, -0.21217481892696868, 0.6403626682232653]]","[[-0.11268389336087284, -0.026287174975165972, -0.0729163078193707, -0.015443148801785107]]","[[-0.4465510537290419], [-0.28553259443397405], [-1.4910142741439114], [1.57245963856347]]",[[0.11837098187205983]]
99,"[2, 4, 4, 1]",2242.750677115665,,"[[1.3378388441314524, 0.7026489343518714, 0.37760218043537414, -0.0377695323551864], [2.779784190207356, -0.3282213351987592, -1.3178815108835946, -1.206660379440488]]","[[0.06898808102911426, 0.05304463757410621, -0.032019471393363565, 0.07971104594650326]]","[[-1.7948626213736074, -0.1708981163145868, 0.2721830890093477, 0.4951901549969291], [0.6062305989106891, -1.0115374468948286, 0.08310511937779352, 0.7377344793792842], [3.707209624840014, -0.6445951789977624, 1.2455954571777588, -0.21993998589161703], [-1.9095172586275015, -0.24102129218794424, -0.1788990746586748, 0.6366099037511647]]","[[-0.08848790121259548, -0.03082879084557185, -0.058630128124875724, -0.021365123590618228]]","[[-0.5570765393918159], [-0.35670135878527603], [-1.4764362069769903], [1.543844919991823]]",[[0.09011742638348044]]
